[-43534.55],"{'qw': 3.0, 'ab': 4.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[503338.22    6465.448]
[-43524.586],"{'qw': 4.0, 'ab': 5.0, 'wa': 1.0, 'ic': 4.0, 'ps': 0.0}",[503111.03     6475.4136]
[-43586.55],"{'qw': 5.0, 'ab': 7.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[503008.56    6413.448]
[-45487.62],"{'qw': 5.0, 'ab': 7.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[333528.       4512.3794]
[-43101.93],"{'qw': 2.0, 'ab': 2.0, 'wa': 1.0, 'ic': 4.0, 'ps': 0.0}",[547140.7     6898.069]
[-43802.83],"{'qw': 6.0, 'ab': 0.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[479371.2      6197.1724]
[-45583.688],"{'qw': 6.0, 'ab': 0.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[283145.78     4416.3105]
[-43877.312],"{'qw': 1.0, 'ab': 0.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[494155.3      6122.6895]
[-43875.38],"{'qw': 1.0, 'ab': 7.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[491726.75     6124.6206]
[-43807.9],"{'qw': 1.0, 'ab': 7.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[492212.97     6192.1035]
[-45189.17],"{'qw': 6.0, 'ab': 4.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[341850.62     4810.8276]
[-44781.723],"{'qw': 4.0, 'ab': 0.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[387065.66    5218.276]
[-42865.83],"{'qw': 6.0, 'ab': 3.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[578003.75     7134.1724]
[-47274.17],"{'qw': 1.0, 'ab': 3.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[192214.48     2725.8276]
[-44962.07],"{'qw': 4.0, 'ab': 2.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[355480.12    5037.931]
[-43384.484],"{'qw': 2.0, 'ab': 7.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[528957.25    6615.517]
[-43405.17],"{'qw': 1.0, 'ab': 0.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[522686.62     6594.8276]
[-43345.45],"{'qw': 1.0, 'ab': 4.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[523561.38    6654.552]
[-43285.93],"{'qw': 5.0, 'ab': 2.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[525626.9     6714.069]
[-43774.723],"{'qw': 6.0, 'ab': 6.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[492623.6     6225.276]
[-44405.137],"{'qw': 3.0, 'ab': 5.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[429140.4      5594.8623]
[-45943.414],"{'qw': 1.0, 'ab': 0.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[271044.56     4056.5862]
[-43327.277],"{'qw': 1.0, 'ab': 5.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[551741.6     6672.724]
[-46567.137],"{'qw': 3.0, 'ab': 0.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[152116.      3432.862]
[-43654.],"{'qw': 6.0, 'ab': 0.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[465228.8   6346. ]
[-43062.07],"{'qw': 6.0, 'ab': 4.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[551108.      6937.931]
[-43398.965],"{'qw': 1.0, 'ab': 2.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[530343.3      6601.0347]
[-43878.62],"{'qw': 3.0, 'ab': 7.0, 'wa': 0.0, 'ic': 4.0, 'ps': 0.0}",[495588.12     6121.3794]
[-45367.45],"{'qw': 3.0, 'ab': 3.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[313406.06    4632.552]
[-44458.344],"{'qw': 3.0, 'ab': 0.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[420734.62     5541.6553]
[-43776.17],"{'qw': 6.0, 'ab': 7.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[497837.53     6223.8276]
[-43740.45],"{'qw': 6.0, 'ab': 2.0, 'wa': 1.0, 'ic': 1.0, 'ps': 0.0}",[496876.56    6259.552]
[-44130.863],"{'qw': 3.0, 'ab': 7.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[451830.47     5869.1377]
[-44265.586],"{'qw': 4.0, 'ab': 2.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[431261.66     5734.4136]
[-46553.],"{'qw': 1.0, 'ab': 5.0, 'wa': 1.0, 'ic': 4.0, 'ps': 0.0}",[270808.4   3447. ]
[-45395.242],"{'qw': 5.0, 'ab': 5.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[308073.38    4604.759]
[-45027.9],"{'qw': 3.0, 'ab': 3.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[350557.53     4972.1035]
[-43448.312],"{'qw': 1.0, 'ab': 5.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[519741.66     6551.6895]
[-43377.586],"{'qw': 3.0, 'ab': 0.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[521007.3      6622.4136]
[-43349.07],"{'qw': 1.0, 'ab': 2.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[522971.03    6650.931]
[-43612.863],"{'qw': 6.0, 'ab': 7.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[502715.44     6387.1377]
[-44012.1],"{'qw': 3.0, 'ab': 5.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[473218.06     5987.8965]
[-44684.93],"{'qw': 4.0, 'ab': 7.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[400250.9     5315.069]
[-44249.],"{'qw': 6.0, 'ab': 5.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[443581.78   5751.  ]
[-47120.38],"{'qw': 1.0, 'ab': 3.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[211080.97     2879.6206]
[-44290.55],"{'qw': 1.0, 'ab': 7.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[422474.34    5709.448]
[-43101.688],"{'qw': 6.0, 'ab': 2.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[548814.5      6898.3105]
[-43178.62],"{'qw': 3.0, 'ab': 2.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[541555.44     6821.3794]
[-44115.45],"{'qw': 6.0, 'ab': 0.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[461295.88    5884.552]
[-45732.035],"{'qw': 6.0, 'ab': 0.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[272465.66     4267.9653]
[-43838.414],"{'qw': 6.0, 'ab': 2.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[494464.12     6161.5864]
[-43743.656],"{'qw': 1.0, 'ab': 0.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[499803.2      6256.3447]
[-43675.035],"{'qw': 1.0, 'ab': 1.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[500981.78     6324.9653]
[-44101.137],"{'qw': 6.0, 'ab': 5.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[455784.8      5898.8623]
[-45351.93],"{'qw': 5.0, 'ab': 3.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[351450.9     4648.069]
[-45476.1],"{'qw': 3.0, 'ab': 7.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[336671.2      4523.8965]
[-43362.586],"{'qw': 4.0, 'ab': 5.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[526165.4      6637.4136]
[-43287.484],"{'qw': 4.0, 'ab': 0.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[531427.06    6712.517]
[-45449.1],"{'qw': 3.0, 'ab': 5.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[304216.       4550.8965]
[-44948.62],"{'qw': 6.0, 'ab': 7.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[357454.34     5051.3794]
[-43434.965],"{'qw': 1.0, 'ab': 7.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[517680.12     6565.0347]
[-44012.09],"{'qw': 6.0, 'ab': 4.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[477535.75     5987.9116]
[-43890.83],"{'qw': 4.0, 'ab': 0.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[483944.97     6109.1724]
[-44138.688],"{'qw': 4.0, 'ab': 7.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[456417.66     5861.3105]
[-44415.207],"{'qw': 1.0, 'ab': 7.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[421151.3     5584.793]
[-47482.93],"{'qw': 4.0, 'ab': 4.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[167116.83     2517.0688]
[-45189.83],"{'qw': 6.0, 'ab': 1.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[321159.03     4810.1724]
[-43197.93],"{'qw': 3.0, 'ab': 2.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[543007.06    6802.069]
[-43184.207],"{'qw': 1.0, 'ab': 0.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[541066.75    6815.793]
[-43606.312],"{'qw': 5.0, 'ab': 4.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[510648.7      6393.6895]
[-43859.242],"{'qw': 1.0, 'ab': 4.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[493217.78    6140.759]
[-44255.516],"{'qw': 4.0, 'ab': 7.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[442329.78    5744.483]
[-45774.414],"{'qw': 3.0, 'ab': 2.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[279335.88     4225.5864]
[-43813.344],"{'qw': 6.0, 'ab': 0.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[494029.38     6186.6553]
[-43279.586],"{'qw': 2.0, 'ab': 4.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[539840.       6720.4136]
[-46748.965],"{'qw': 6.0, 'ab': 7.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[247766.89     3251.0344]
[-45236.137],"{'qw': 1.0, 'ab': 7.0, 'wa': 0.0, 'ic': 2.0, 'ps': 0.0}",[323788.8      4763.8623]
[-43311.656],"{'qw': 1.0, 'ab': 0.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[532671.3      6688.3447]
[-43316.035],"{'qw': 4.0, 'ab': 1.0, 'wa': 1.0, 'ic': 4.0, 'ps': 0.0}",[528678.9      6683.9653]
[-43252.863],"{'qw': 4.0, 'ab': 4.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[532548.94     6747.1377]
[-43276.414],"{'qw': 3.0, 'ab': 6.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[528241.6      6723.5864]
[-43913.207],"{'qw': 1.0, 'ab': 1.0, 'wa': 0.0, 'ic': 4.0, 'ps': 0.0}",[485127.03    6086.793]
[-45645.758],"{'qw': 1.0, 'ab': 2.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[296673.38    4354.241]
[-44649.07],"{'qw': 1.0, 'ab': 5.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[407311.44    5350.931]
[-43000.9],"{'qw': 6.0, 'ab': 5.0, 'wa': 1.0, 'ic': 1.0, 'ps': 0.0}",[571438.2      6999.1035]
[-45217.55],"{'qw': 3.0, 'ab': 0.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[361529.25    4782.448]
[-45595.656],"{'qw': 1.0, 'ab': 3.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[334383.03     4404.3447]
[-43163.93],"{'qw': 6.0, 'ab': 7.0, 'wa': 0.0, 'ic': 0.0, 'ps': 0.0}",[544326.06    6836.069]
[-45647.758],"{'qw': 5.0, 'ab': 3.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[273904.8     4352.241]
[-44330.07],"{'qw': 5.0, 'ab': 2.0, 'wa': 1.0, 'ic': 0.0, 'ps': 0.0}",[417294.22    5669.931]
[-43603.723],"{'qw': 3.0, 'ab': 4.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[514001.53    6396.277]
[-43928.277],"{'qw': 3.0, 'ab': 3.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[485754.06    6071.724]
[-43790.586],"{'qw': 2.0, 'ab': 0.0, 'wa': 1.0, 'ic': 2.0, 'ps': 0.0}",[494646.34     6209.4136]
[-44855.965],"{'qw': 1.0, 'ab': 5.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[377673.94     5144.0347]
[-45197.83],"{'qw': 6.0, 'ab': 7.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[344730.62     4802.1724]
[-43122.137],"{'qw': 4.0, 'ab': 6.0, 'wa': 1.0, 'ic': 5.0, 'ps': 0.0}",[556481.25     6877.8623]
[-47485.207],"{'qw': 6.0, 'ab': 3.0, 'wa': 0.0, 'ic': 1.0, 'ps': 0.0}",[168826.2      2514.7932]
[-44501.37],"{'qw': 6.0, 'ab': 2.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[407752.78     5498.6304]
[-43309.45],"{'qw': 1.0, 'ab': 6.0, 'wa': 1.0, 'ic': 3.0, 'ps': 0.0}",[530292.1     6690.552]
[-43252.758],"{'qw': 5.0, 'ab': 0.0, 'wa': 0.0, 'ic': 3.0, 'ps': 0.0}",[535185.25    6747.241]
[-43272.38],"{'qw': 1.0, 'ab': 3.0, 'wa': 0.0, 'ic': 5.0, 'ps': 0.0}",[530672.7      6727.6206]
